"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","otherCatalogNumbers","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","nomenclaturalCode","institutionID","locality","collectionCode","gbifID","occurrenceID","higherClassification","name","taxonID"
"2515830778","Aglaia affinis Merr.",4.96667,117.8,"","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-11-01T08:50:07.799+00:00","2024-11-01T10:28:55.599+00:00",274,"PRESERVED_SPECIMEN","PRESENT",5597282,6,7707728,220,933,2397,3190479,5597346,5597346,"Aglaia odoratissima Blume","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia odoratissima","Aglaia","affinis","SPECIES","SYNONYM","NE","ASIA","Borneo",2002,"2002-01-01/2002-12-31",1,365,"2024-11-01T10:28:55.599+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"L.2146166@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,"L  0360706","Forest Department Sandakan","WGS84","Magnoliopsida","MY","none","none","ASIA","Malaysia","EUROPE","Naturalis Biodiversity Center","Forest Department Sandakan SAT 4567","L.2146166@BRAHMS","L.2146166","ICN","https://ror.org/0566bfb96","Malaysia/Sabah  Borneo Lahad Datu Danum Valley","Botany","2515830778","https://data.biodiversitydata.nl/naturalis/specimen/L.2146166","Plantae|Sapindales|Meliaceae","Aglaia affinis Merr.",NA
"2514270861","Aglaia affinis Merr.",4.96667,117.8,"","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-11-01T08:50:07.799+00:00","2024-11-01T10:27:05.746+00:00",274,"PRESERVED_SPECIMEN","PRESENT",5597282,6,7707728,220,933,2397,3190479,5597346,5597346,"Aglaia odoratissima Blume","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia odoratissima","Aglaia","affinis","SPECIES","SYNONYM","NE","ASIA","Borneo",2002,"2002-01-01/2002-12-31",1,365,"2024-11-01T10:27:05.746+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"L.2146167@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,"L  0360707","Forest Department Sandakan","WGS84","Magnoliopsida","MY","none","none","ASIA","Malaysia","EUROPE","Naturalis Biodiversity Center","Forest Department Sandakan SAT 3544","L.2146167@BRAHMS","L.2146167","ICN","https://ror.org/0566bfb96","Malaysia/Sabah  Borneo Lahad Datu Danum Valley","Botany","2514270861","https://data.biodiversitydata.nl/naturalis/specimen/L.2146167","Plantae|Sapindales|Meliaceae","Aglaia affinis Merr.",NA
"2514265853","Aglaia affinis Merr.",4.96667,117.8,"","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-11-01T08:50:07.799+00:00","2024-11-01T10:28:55.599+00:00",274,"PRESERVED_SPECIMEN","PRESENT",5597282,6,7707728,220,933,2397,3190479,5597346,5597346,"Aglaia odoratissima Blume","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia odoratissima","Aglaia","affinis","SPECIES","SYNONYM","NE","ASIA","Borneo",2002,"2002-01-01/2002-12-31",1,365,"2024-11-01T10:28:55.599+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"L.2146168@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,"L  0360708","Forest Department Sandakan","WGS84","Magnoliopsida","MY","none","none","ASIA","Malaysia","EUROPE","Naturalis Biodiversity Center","Forest Department Sandakan SAT 3708","L.2146168@BRAHMS","L.2146168","ICN","https://ror.org/0566bfb96","Malaysia/Sabah  Borneo Lahad Datu Danum Valley","Botany","2514265853","https://data.biodiversitydata.nl/naturalis/specimen/L.2146168","Plantae|Sapindales|Meliaceae","Aglaia affinis Merr.",NA
