SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
819,Heritiera javanica,NA,Heritiera,2,Heritiera javanica,(Blume) Kosterm.,Heritiera,2,kew-2846313,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera javanica,
31,Heritiera littoralis,NA,Heritiera,2,Heritiera littoralis,Aiton,Heritiera,2,kew-2846318,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera littoralis,
234,Heritiera longipetiolata,NA,Heritiera,2,Heritiera longipetiolata,Kaneh.,Heritiera,2,kew-2846319,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera longipetiolata,
817,Heritiera macrophylla,NA,Heritiera,2,Heritiera macrophylla,Wall. ex Kurz,Heritiera,2,kew-2846320,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera macrophylla,
430,Heritiera ornithocephala,NA,Heritiera,2,Heritiera ornithocephala,Kosterm.,Heritiera,2,kew-2846327,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera ornithocephala,
235,Heritiera papilio,NA,Heritiera,2,Heritiera papilio,Bedd.,Heritiera,2,kew-2846328,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera papilio,
818,Heritiera parvifolia,NA,Heritiera,2,Heritiera parvifolia,Merr.,Heritiera,2,kew-2846329,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera parvifolia,
236,Heritiera peralata,NA,Heritiera,2,Heritiera peralata,(Domin) Kosterm.,Heritiera,2,kew-2846330,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera peralata,
237,Heritiera polyandra,NA,Heritiera,2,Heritiera polyandra,(L.S.Sm.) Kosterm.,Heritiera,2,kew-2846332,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera polyandra,
790,Heritiera simplicifolia,NA,Heritiera,2,Heritiera simplicifolia,(Mast.) Kosterm.,Heritiera,2,kew-2846335,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera simplicifolia,
821,Heritiera sumatrana,NA,Heritiera,2,Heritiera sumatrana,(Miq.) Kosterm.,Heritiera,2,kew-2846338,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera sumatrana,
238,Heritiera trifoliolata,NA,Heritiera,2,Heritiera trifoliolata,(F.Muell.) Kosterm.,Heritiera,2,kew-2846342,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera trifoliolata,
286,Heritiera utilis,NA,Heritiera,2,Heritiera utilis,(Sprague) Sprague,Heritiera,2,tro-50054807,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Heritiera utilis,
546,Hexalobus crispiflorus,NA,Hexalobus,2,Hexalobus crispiflorus,A.Rich.,Hexalobus,2,kew-2848909,1,FALSE,0.8,0,NA,NA,NA,NA,Annonaceae,NA,Hexalobus crispiflorus,
146,Hieronyma alchorneoides,NA,Hieronyma,2,Hieronyma alchorneoides,Allemao,Hieronyma,2,kew-99124,1,FALSE,0.8,0,NA,NA,NA,NA,Phyllanthaceae,NA,Hieronyma alchorneoides,
52,Hopea beccariana,NA,Hopea,2,Hopea beccariana,Burck,Hopea,2,kew-2853118,1,FALSE,0.8,0,NA,NA,NA,NA,Dipterocarpaceae,NA,Hopea beccariana,
53,Hopea chinensis,NA,Hopea,2,Hopea chinensis,(Merr.) Hand.-Mazz.,Hopea,2,kew-2853132,1,FALSE,0.8,0,NA,NA,NA,NA,Dipterocarpaceae,NA,Hopea chinensis,
54,Hopea dryobalanoides,NA,Hopea,2,Hopea dryobalanoides,Miq.,Hopea,2,kew-2853147,1,FALSE,0.8,0,NA,NA,NA,NA,Dipterocarpaceae,NA,Hopea dryobalanoides,
239,Hopea pachycarpa,NA,Hopea,2,Hopea pachycarpa,(F.Heim) Symington,Hopea,2,kew-2853235,1,FALSE,0.8,0,NA,NA,NA,NA,Dipterocarpaceae,NA,Hopea pachycarpa,
848,Hoplestigma klaineanum,NA,Hoplestigma,2,Hoplestigma klaineanum,Pierre,Hoplestigma,2,kew-2853302,1,FALSE,0.8,0,NA,NA,NA,NA,Boraginaceae,NA,Hoplestigma klaineanum,
355,Huberodendron allenii,NA,Huberodendron,2,Huberodendron allenii,Standl. & L.O. Williams,Huberodendron,2,tro-3900764,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Huberodendron allenii,
354,Huberodendron swietenioides,NA,Huberodendron,2,Huberodendron swietenioides,(Gleason) Ducke,Huberodendron,2,tro-3900430,1,FALSE,0.8,0,NA,NA,NA,NA,Malvaceae,NA,Huberodendron swietenioides,
725,Hura crepitans,NA,Hura,2,Hura crepitans,L.,Hura,2,kew-100851,1,FALSE,0.8,0,NA,NA,NA,NA,Euphorbiaceae,NA,Hura crepitans,
55,Hylodendron gabunense,NA,Hylodendron,2,Hylodendron gabunense,Taub.,Hylodendron,2,ild-1495,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Hylodendron gabunense,
828,Hymenaea oblongifolia,NA,Hymenaea,2,Hymenaea oblongifolia,Huber,Hymenaea,2,ild-11545,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Hymenaea oblongifolia,
357,Hymenolobium flavum,NA,Hymenolobium,2,Hymenolobium flavum,Kleinhoonte,Hymenolobium,2,ild-11554,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Hymenolobium flavum,
356,Hymenolobium mesoamericanum,NA,Hymenolobium,2,Hymenolobium mesoamericanum,H.C.Lima,Hymenolobium,2,ild-30724,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Hymenolobium mesoamericanum,
375,Inga alba,NA,Inga,2,Inga alba,(Sw.) Willd.,Inga,2,ild-19794,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Inga alba,
414,Intsia bijuga,NA,Intsia,2,Intsia bijuga,(Colebr.) Kuntze,Intsia,2,ild-1524,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Intsia bijuga,
415,Intsia palembanica,NA,Intsia,2,Intsia palembanica,Miq.,Intsia,2,ild-31806,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Intsia palembanica,
547,Irvingia gabonensis,NA,Irvingia,2,Irvingia gabonensis,(Aubry-Lecomte ex O'Rorke) Baill.,Irvingia,2,kew-2866788,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia gabonensis,
548,Irvingia grandifolia,NA,Irvingia,2,Irvingia grandifolia,(Engl.) Engl.,Irvingia,2,kew-2866792,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia grandifolia,
381,Irvingia malayana,NA,Irvingia,2,Irvingia malayana,Oliv. ex A.W.Benn.,Irvingia,2,kew-2866799,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia malayana,
380,Irvingia robur,NA,Irvingia,2,Irvingia robur,Mildbr.,Irvingia,2,kew-2866807,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia robur,
549,Irvingia smithii,NA,Irvingia,2,Irvingia smithii,Hook.f.,Irvingia,2,kew-2866808,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia smithii,
382,Irvingia tenuinucleata,NA,Irvingia,2,Irvingia tenuinucleata,Tiegh.,Irvingia,2,kew-2866810,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Irvingia tenuinucleata,
56,Ixonanthes reticulata,NA,Ixonanthes,2,Ixonanthes reticulata,Jack,Ixonanthes,2,tro-50171534,1,FALSE,0.8,0,NA,NA,NA,NA,Ixonanthaceae,NA,Ixonanthes reticulata,
536,Jacaranda copaia,NA,Jacaranda,2,Jacaranda copaia,(Aubl.) D.Don,Jacaranda,2,kew-317413,1,FALSE,0.8,0,NA,NA,NA,NA,Bignoniaceae,NA,Jacaranda copaia,
436,Julbernardia pellegriniana,NA,Julbernardia,2,Julbernardia pellegriniana,Troupin,Julbernardia,2,ild-1557,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Julbernardia pellegriniana,
57,Julbernardia seretii,NA,Julbernardia,2,Julbernardia seretii,(De Wild.) Troupin,Julbernardia,2,ild-1559,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Julbernardia seretii,
383,Khaya anthotheca,NA,Khaya,2,Khaya anthotheca,(Welw.) C.DC.,Khaya,2,kew-2335002,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Khaya anthotheca,
434,Khaya grandifoliola,NA,Khaya,2,Khaya grandifoliola,A. Juss.,Khaya,2,tro-20400889,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Khaya grandifoliola,Multiple results
435,Khaya ivorensis,NA,Khaya,2,Khaya ivorensis,A.Chev.,Khaya,2,kew-2334996,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Khaya ivorensis,
499,Khaya madagascariensis,NA,Khaya,2,Khaya madagascariensis,Jum. & H. Perrier,Khaya,2,tro-20400890,1,FALSE,0.8,0,NA,NA,NA,NA,Meliaceae,NA,Khaya madagascariensis,
58,Klainedoxa gabonensis,NA,Klainedoxa,2,Klainedoxa gabonensis,Pierre,Klainedoxa,2,kew-2336483,1,FALSE,0.8,0,NA,NA,NA,NA,Irvingiaceae,NA,Klainedoxa gabonensis,
228,Kokoona reflexa,NA,Kokoona,2,Kokoona reflexa,(M.A.Lawson) Ding Hou,Kokoona,2,kew-2334226,1,FALSE,0.8,0,NA,NA,NA,NA,Celastraceae,NA,Kokoona reflexa,
307,Koompassia excelsa,NA,Koompassia,2,Koompassia excelsa,(Becc.) Taub.,Koompassia,2,ild-39787,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Koompassia excelsa,
59,Koompassia malaccensis,NA,Koompassia,2,Koompassia malaccensis,Benth.,Koompassia,2,ild-39789,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Koompassia malaccensis,
